  1969    0.23116058715389192457E+03    0.10132187132775412053E+02    0.50255945444589729398E-01   -0.17157880346787447223E+02
  1970    0.23113113257446349280E+03    0.10091089886771174022E+02    0.50206878015420397521E-01   -0.17223811835981162943E+02
  1971    0.23111462599395835582E+03    0.10048065100960075213E+02    0.50158010882039527623E-01   -0.17287174336486604176E+02
  1972    0.23109629845789731917E+03    0.10003849646263706319E+02    0.50109341196228417148E-01   -0.17347238980862051960E+02
  1973    0.23108366670315641045E+03    0.99606659583542800362E+01    0.50060866058836299419E-01   -0.17405504823241507495E+02
  1974    0.23108424803469435460E+03    0.99155365256439793598E+01    0.50012582523929996481E-01   -0.17461241825372091796E+02
  1975    0.23107584685168620808E+03    0.98706835828851389181E+01    0.49964487602923580989E-01   -0.17514462193149935132E+02
  1976    0.23107340972683036284E+03    0.98246150941543319846E+01    0.49916578268646448480E-01   -0.17564434703254512726E+02
  1977    0.23107702688184323847E+03    0.97788102713935387555E+01    0.49868851459325826136E-01   -0.17611913205156103146E+02
  1978    0.23107936046540567077E+03    0.97325197325814691851E+01    0.49821304082476244868E-01   -0.17656165278195491197E+02
  1979    0.23108792953231906608E+03    0.96857368452080780941E+01    0.49773933018624073876E-01   -0.17697943569111131978E+02
  1980    0.23110282492212056127E+03    0.96384548946503034728E+01    0.49726735124953985734E-01   -0.17737257284637433230E+02
  1981    0.23110928083940100919E+03    0.95906670875971276047E+01    0.49679707238709659711E-01   -0.17773372189424154755E+02
  1982    0.23112224488730581129E+03    0.95423665554968888358E+01    0.49632846180465879649E-01   -0.17807039109275923039E+02
  1983    0.23114180789968742147E+03    0.94935463580249663806E+01    0.49586148757211304106E-01   -0.17838265424486223765E+02
  1984    0.23116063222686273093E+03    0.94449423215948797861E+01    0.49539611765154055456E-01   -0.17866315068490230544E+02
  1985    0.23118623672391535706E+03    0.93950617027608167575E+01    0.49493231992378886042E-01   -0.17891937031835642102E+02
  1986    0.23120385493921247644E+03    0.93453830369097694586E+01    0.49447006221238633261E-01   -0.17914394021220836350E+02
  1987    0.23122100515803978737E+03    0.92958991316414074646E+01    0.49400931230471969990E-01   -0.17934433798974417584E+02
  1988    0.23124520529648711431E+03    0.92458599053337806595E+01    0.49355003797155724832E-01   -0.17951317842575615913E+02
  1989    0.23126911614819806573E+03    0.91960008957682148889E+01    0.49309220698317564324E-01   -0.17964307014564475651E+02
  1990    0.23130025473532452907E+03    0.91455719235865853278E+01    0.49263578712369915369E-01   -0.17976375737766318252E+02
  1991    0.23131642415975682070E+03    0.90938227659042993878E+01    0.49218074620239748995E-01   -0.17984555140304539833E+02
  1992    0.23133256871092598317E+03    0.90429744999774541725E+01    0.49172705206296851710E-01   -0.17990332746526000562E+02
  1993    0.23135620372270454936E+03    0.89922768265725316894E+01    0.49127467258997914445E-01   -0.17992966962588241131E+02
  1994    0.23137998718440988455E+03    0.89402365786122057756E+01    0.49082357571343604441E-01   -0.17993201252632871956E+02
  1995    0.23141143310588830673E+03    0.88883318998708435998E+01    0.49037372941062383480E-01   -0.17991035634994211989E+02
  1996    0.23142834138289342150E+03    0.88358124033683118626E+01    0.48992510170623865262E-01   -0.17985726683717651042E+02
  1997    0.23144565291894434722E+03    0.87834133500608455591E+01    0.48947766067004822022E-01   -0.17976530365336664374E+02
